"filename", "language", "Markdown", "YAML", "Gradle", "JSON with Comments", "JSON", "Batch", "TypeScript", "PostCSS", "HTML", "Java Properties", "PowerShell", "Shell Script", "Java", "XML", "comment", "blank", "total"
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\models\document.model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\models\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\models\session.model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\services\chat.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 20, 38, 287
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\services\document.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 19, 28, 248
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\services\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\core\services\session.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 13, 96
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\features\chat\components\chat-area\chat-area.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 5, 19, 225
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\features\chat\components\chat-message\chat-message.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 4, 10, 150
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\features\document\components\sources-panel\sources-panel.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 10, 209
